0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:41 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:41 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:41 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:41 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:41 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:41 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:41 +0530] "GET /PizzaWale/static/css/home.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:41 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:30:49 +0530] "GET /PizzaWale/static/css/home.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4735
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/css/home.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:31:35 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4735
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:09 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:10 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:10 +0530] "GET /PizzaWale/static/css/home.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:10 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:13 +0530] "GET /PizzaWale/mainblog.html HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:13 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4735
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:32:15 +0530] "GET /PizzaWale/static/css/home.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/css/home.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:34 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 200 38728
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 200 2486
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 200 150696
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/login/login.controller.js HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 200 98762
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 200 1174119
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:37 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:38 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:38 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:38 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:38 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:38 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:38 +0530] "GET /PizzaWale/static/home/home.view.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:38 +0530] "GET /PizzaWale/static/css/home.css HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:38 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:36:46 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/js/angular-animate.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/js/ngStorage.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/home/home.controller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/images/pizza_background.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:41:33 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:39 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/ HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:56 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:57 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:42:57 +0530] "GET /PizzaWale/static/images/favicon.ico HTTP/1.1" 200 262206
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/?email=dhruvin%40pizzawale HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/images/logo.jpg HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/app-services/order.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/app-services/user.service.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/register/register.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/order/order.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/editorder/editorder.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/end/end.controller.js HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [16/Aug/2019:17:43:22 +0530] "GET /PizzaWale/static/login/login.view.html HTTP/1.1" 200 3714
